Product ID,Product Title,Vendor ID,Cluster ID,Cluster Label,Category ID,Category Label
20,iphone 8 plus 64gb space grey,20,1,,2612,
21,apple iphone 8 plus,21,1,Apple iPhone 8 Plus 64GB,2612,Mobile Phones
10101,samsung 75 8 series black ultra hd 4k dynamic crystal colour hdr 1000 smart tv ue75nu8000txxu,33,4421,Samsung UE75NU8000,2614,TVs
10102,samsung ue75nu8000 75 4k ultra hd tv,129,4421,,2614,
13876,intel core i3 7100 3.90ghz s1151 3mb kaby lake cpu,10,5860,,2615,
13877,intel core i3 7100 processor 3.9 ghz box 3 mb smart cache,14,5860,Intel Core i3-7100 3.90GHz  Box,2615,CPUs
21356,sony cyber shot dsc wx500 digital camera in black,250,38865,Sony Cyber-shot DSC-WX500,2617,Digital Cameras
21357,sony wx500 compact digital camera with 30x optical zoom black,22,38865,,,
24055,hotpoint mwh2221x 24 litre microwave with grill no stain stainless steel,6,39676,,2618,
24056,hotpoint mwh2221x 24 litre microwave with grill no stain stainless steel,15,39676,Hotpoint MWH222.1X Stainless Steel,2618,Microwaves
26539,bosch spv25cx00g a 45cm fully integrated dishwasher white,32,40482,,2619,
26540,bosch spv25cx00g serie 2 45cm fully integrated dishwasher,301,40482,,2619,
30611,blomberg lwf411452aw 11kg washing machine,292,41899,Blomberg LWF411452A,2620,
30612,blomberg lwf411452aw 11kg 1400 spin washing machine white a rated,133,41899,Blomberg LWF411452A,2620,
